"","kind","name","rate01.median","rate10.median","count0.median","count1.median","ntip.median","depth.median","total.length.median","average.rate.median","tropic.to.temperate.fraction.median","rate01.sd","rate10.sd","count0.sd","count1.sd","ntip.sd","depth.sd","total.length.sd","average.rate.sd","tropic.to.temperate.fraction.sd","invariant.proportion"
"34","family","Adoxaceae",0.0211395685876055,0.0461318040774202,96,41,137,76.10301,666.97141,0.0350309627546956,0.704476575634169,0.0182937800971852,0.633315292278665,31.6292586065497,31.6292586065497,0,0,0,0.323040636565948,0.158246108242823,0
"81","random_137_taxa","Adoxaceae_RandomTwin",0.0207762361938113,0.0478137350251526,96,41,137,105,3429.48032,0.0346533882211903,0.702693689185909,0.00921294420764758,0.0301253838117434,9.54616110901089,9.54616110901089,0,1.73785445244452,181.220583695858,0.0191122077267539,0.059801551995853,0
"1","genus","Anthemis",0.0291411478278446,0.0521409817250311,57,3,60,5.197168,76.137523,0.0531418312561783,0.750828150031158,1.21399443538117,3.37368395078145,22.9538931800514,22.9538931800514,0,0,0,1.7868605520891,0.461727344182928,29
"48","random_60_taxa","Anthemis_RandomTwin",0.0233768318850175,0.0547586902158549,43,17,60,104.9999985,1916.4941275,0.0406979386865333,0.714482912675761,0.196982918182864,0.547174715240838,4.47957203944368,4.47957203944368,0,3.09586748744198,162.345500753976,0.367294941014451,0.0813339156300882,0
"35","family","Apiaceae",0.0183535204975138,0.0443203064034485,1165,347,1512,72.1,8192.454773,0.0315078437204871,0.706969292213288,0.00232147449489027,0.0083373861932128,191.923689591104,191.923689591104,0,0,0,0.00463444048223486,0.0398265439962209,0
"82","random_1512_taxa","Apiaceae_RandomTwin",0.0185720351580633,0.044000223627488,1074,438,1512,105.000001,16574.7432755,0.0310325134102064,0.702111423866772,0.00192141506355637,0.00470676636910238,78.533926915491,78.533926915491,0,4.94311069219254e-07,332.280185742064,0.00287619694290911,0.0239379266093583,0
"44","order","Apiales",0.0181660383681179,0.044120240814585,1555,500,2055,84.866368,12054.480555,0.0311739363329406,0.711224942896285,0.00189086069343203,0.00573011310656343,198.321516327361,198.321516327361,0,0,0,0.00329629648038055,0.0279430761858285,0
"91","random_2055_taxa","Apiales_RandomTwin",0.0182972675119848,0.0431762068585868,1452,603,2055,105.000001,19914.3505,0.0310349393868825,0.704144441969503,0.0019154913706658,0.00435129735593039,111.131813172421,111.131813172421,0,4.79372484245775e-07,295.67608683201,0.00271768383826292,0.0226763234528288,0
"36","family","Aquifoliaceae",0.0195339957153927,0.051086253015036,111.5,27.5,139,61.6,786.523452,0.0360731919133118,0.741948534232386,0.011918419432564,0.107746032266823,23.3799771884691,23.3799771884691,0,0,0,0.0552416295249891,0.123764485212141,0
"83","random_139_taxa","Aquifoliaceae_RandomTwin",0.0198051924468825,0.04490068439484,99,40,139,105,3480.4429165,0.0312487526714234,0.71251101493078,0.0192232408791618,0.0798850228735983,9.13492576252641,9.13492576252641,0,1.79430852365775,151.365135820628,0.0493194276464136,0.0587313807717182,0
"45","order","Aquifoliales",0.0187624403466333,0.047595875169494,123.5,33.5,157,97.026407,1387.844403,0.0348044933144017,0.733176701638533,0.0077434993922678,0.0482252561630554,23.4346630943019,23.4346630943019,0,0,0,0.0257180985156853,0.0952510459445655,0
"92","random_157_taxa","Aquifoliales_RandomTwin",0.0200188600702551,0.0454104340463476,112,45,157,105,3762.185291,0.0326734140216805,0.708807269658731,0.00816377977577667,0.0253152181052088,9.51604705301269,9.51604705301269,0,1.82066080975738,207.756324867614,0.0159275440707089,0.061053450642204,0
"37","family","Araliaceae",0.0184469705509019,0.0457358344988914,324.5,124.5,449,54.038531,2517.389082,0.0320341338359052,0.720263405506244,0.00461697339728068,0.0119767358991441,46.4011700914814,46.4011700914814,0,0,0,0.00688831380546865,0.0663979519811377,0
"84","random_449_taxa","Araliaceae_RandomTwin",0.0183287041387124,0.0442798462110471,320,129,449,105.000001,7621.0065375,0.0310047697909718,0.7068766001306,0.00339747017614605,0.00852827657596375,24.6584752983716,24.6584752983716,0,6.87845413833489e-07,205.835540538204,0.00534188642312554,0.0369845183301514,0
"2","genus","Artemisia",0.0189416666766518,0.048639924478606,136,7,143,5.316515,230.061248,0.0278322015676036,0.746323455660643,0.100322158931552,3.54865724477151,47.3122189355568,47.3122189355568,0,0,0,1.82275690749218,0.448851018377314,1
"49","random_143_taxa","Artemisia_RandomTwin",0.018756306565075,0.0463085646424621,101.5,41.5,143,105,3536.4400515,0.0329968482086107,0.715346834923126,0.0157858350021587,0.0448093758906062,9.00869949918781,9.00869949918781,0,1.87924133730474,188.430125810433,0.0298732987084957,0.0586620734679252,0
"3","genus","Brachyscome",0.0166224291224916,0.0513668199538623,51,5,56,6.881498,192.038454,0.0382760088003351,0.802784466605906,1.81594060908391,0.813903534183185,17.9508982358752,17.9508982358752,0,0,0,1.06174518244582,0.436972704999732,3
"50","random_56_taxa","Brachyscome_RandomTwin",0.0194592195760051,0.0485327492515666,39,17,56,104.999999,1819.3302345,0.0334440846029746,0.699331453159226,0.422985694070458,1.2444371309391,4.44507445029742,4.44507445029742,0,3.00497958791059,142.080030911414,0.828255546022213,0.114111009202128,0
"4","genus","Brickellia",0.0230749685478416,0.0513041709956674,54,10,64,10.31257,122.934805,0.0389081452349848,0.907576248077163,0.215829221258027,2.56366264925616,19.503524674978,19.503524674978,0,0,0,1.31729187523779,0.439936544619524,8
"51","random_64_taxa","Brickellia_RandomTwin",0.0217009414144178,0.0568381536174829,46,18,64,105,2033.0137755,0.0405429000218238,0.708228822244467,2.12055391133519,4.14310052734976,4.70051576796084,4.70051576796084,0,2.87782307171406,140.673846024343,3.12878779412979,0.118251851733258,0
"38","family","Bruniaceae",0.0172073454608603,0.0463443537480503,47,13,60,60.194727,555.307501,0.034085954073487,0.72032411548244,0.0202656238750792,0.199768269306473,9.64067037360604,9.64067037360604,0,0,0,0.107351761442277,0.287514981609667,0
"85","random_60_taxa","Bruniaceae_RandomTwin",0.0231007853025535,0.0559377575661305,42,18,60,105,1930.388323,0.0377570274402037,0.690297706077194,0.58831542925816,1.36866864202292,4.25275905688996,4.25275905688996,0,2.96959666842341,163.960643008431,0.963898716284625,0.135819287470146,0
"46","order","Bruniales",0.0174031655116527,0.0444363080056518,49,13,62,92.000674,728.398875,0.0309621467166717,0.707487728552955,0.0149217015626373,0.0496867440692421,9.64247233479426,9.64247233479426,0,0,0,0.0295532119661503,0.22554966658423,0
"93","random_62_taxa","Bruniales_RandomTwin",0.0222001984200796,0.0559262598490765,44.5,17.5,62,104.999999,1934.8668975,0.0383859154912048,0.719009180534534,0.229508870366903,0.395187081079772,4.66250897039243,4.66250897039243,0,3.14835296199968,144.76562224375,0.311725816837153,0.081612070238634,0
"5","genus","Bupleurum",0.0169212163462192,0.0458570174451108,56,11,67,24.160723,366.945112,0.0331060197145488,0.752216131622784,0.0209560641678358,0.203324866555882,17.5559826057252,17.5559826057252,0,0,0,0.106787384774893,0.357995543674937,0
"52","random_67_taxa","Bupleurum_RandomTwin",0.0197112930266237,0.042530429854088,47,20,67,104.999999,2082.493036,0.0317103494498871,0.695941504584135,0.153726372046689,0.382340617728009,5.60785884345182,5.60785884345182,0,3.11897378966172,157.596135299965,0.261792114263083,0.0811356432125347,0
"6","genus","Campanula",0.0186047201171736,0.0484112133822897,164,56,220,42.551648,1827.231695,0.0337578914234561,0.720309972310669,0.00681455802389198,0.0239837886203633,29.5294819295954,29.5294819295954,0,0,0,0.0134701645558421,0.110899717929179,0
"53","random_220_taxa","Campanula_RandomTwin",0.019223049546972,0.047246951437846,158,62,220,105,4772.926465,0.0334825222733406,0.714987210655693,0.00644009999902521,0.0243487722813965,14.6701648720707,14.6701648720707,0,1.18557239700573,224.735968274768,0.0146021569846058,0.0532609481934017,0
"39","family","Campanulaceae",0.0184332397196505,0.0449426612585147,529.5,204.5,734,72.733325,6141.428401,0.0317443092090198,0.708194378091155,0.0035729476343365,0.00885652927840407,58.2452590518765,58.2452590518765,0,0,0,0.00531710134309461,0.0453312803135305,0
"86","random_734_taxa","Campanulaceae_RandomTwin",0.0188577851834691,0.0441015885281255,517.5,216.5,734,105.000001,10479.9526405,0.0314313146942955,0.709633390438722,0.00303407617687479,0.00826498506398531,40.399394934963,40.399394934963,0,4.97569851663557e-07,259.553436089004,0.00514023988344691,0.0316759464840782,0
"40","family","Caprifoliaceae",0.0179839852657348,0.0436796030698945,265.5,108.5,374,62.734189,3026.464372,0.0309049984437686,0.713883669701092,0.00385888143080679,0.0125746097318608,31.4015440654909,31.4015440654909,0,0,0,0.00731025632318733,0.0541322326420685,0
"87","random_374_taxa","Caprifoliaceae_RandomTwin",0.0183774448891491,0.043399084734617,264,110,374,105.000001,6765.9429345,0.0302918140637148,0.704004097713342,0.00373770756982945,0.0119512485972235,21.3600093632938,21.3600093632938,0,5.94248527212815e-07,231.798910845118,0.00718204589361904,0.0431751045854637,0
"7","genus","Centaurea",0.0254018561605168,0.0540010483528184,174.5,9.5,184,89.88259,403.838039,0.0480822471991794,0.735849948367739,0.154736176721207,1.68376164517866,67.7670363238737,67.7670363238737,0,0,0,0.855791513388437,0.303525508529442,1
"54","random_184_taxa","Centaurea_RandomTwin",0.0183965147528469,0.0463443261284515,132.5,51.5,184,105,4243.0422,0.0322609542712768,0.714922866827936,0.0074666437711654,0.0219200699071647,10.4504410036954,10.4504410036954,0,0.997325315820035,187.611856434394,0.0142338136220854,0.0449936503162072,0
"8","genus","Cirsium",0.0177779029933478,0.0401019812426726,63,4,67,7.959515,120.43326,0.029356549985892,0.714647093064231,1.58944063085039,0.64528948021251,23.82612732767,23.82612732767,0,0,0,0.909723209538956,0.404295483373391,5
"55","random_67_taxa","Cirsium_RandomTwin",0.0226670680020693,0.0503112516043209,48,19,67,104.999999,2114.422346,0.0350961061587663,0.704710535062227,1.83826764818668,3.3711972230173,5.21941790167479,5.21941790167479,0,3.09366962494579,152.77382774858,2.55832641763034,0.112185461530934,0
"9","genus","Crepis",0.0189323025446253,0.0429385057218102,53,14,67,23.561982,392.302428,0.0335353487939885,0.702479885979654,0.0274132649181087,0.180423702831504,15.9458015119525,15.9458015119525,0,0,0,0.0964472000685404,0.373588088682207,0
"56","random_67_taxa","Crepis_RandomTwin",0.0221937211152366,0.0552058930967874,47,20,67,104.999999,2095.05008,0.0392924540002768,0.702181058494434,0.738129205541885,2.3357638570278,4.98007139618611,4.98007139618611,0,2.9592886910324,171.189582016543,1.53674223349599,0.0747307915311973,0
"47","order","Dipsacales",0.0185357457554208,0.0439440983247125,358,153,511,87.373349,3729.345281,0.0315285721622649,0.70835443691889,0.00360968454945634,0.0107767071710303,48.4277771114842,48.4277771114842,0,0,0,0.00623798657669596,0.0485591690514828,0
"94","random_511_taxa","Dipsacales_RandomTwin",0.0186608654031129,0.0442469762764074,363,148,511,105.000001,8285.352223,0.0313661052472167,0.705990457349641,0.00327566800657964,0.0080665055657223,28.2546340169952,28.2546340169952,0,5.58768485273315e-07,219.958964686882,0.00506365755856636,0.0366761929874848,0
"10","genus","Erigeron",0.0183146303934196,0.0340918353223268,66,9,75,10.548211,228.792595,0.0228465044174068,0.52858271413992,0.787487801085906,0.801188115983869,27.1414104573834,27.1414104573834,0,0,0,0.597328637311745,0.430547313831843,2
"57","random_75_taxa","Erigeron_RandomTwin",0.0209684290453637,0.047350520583754,54,21,75,105,2272.1527715,0.0356901723518465,0.710937842763707,0.326019574920655,1.14191589634418,5.53602526706443,5.53602526706443,0,2.69838427688312,146.016629027271,0.721033954565407,0.0899510262200887,0
