"","kind","name","rate01.median","rate10.median","count0.median","count1.median","ntip.median","depth.median","total.length.median","parsimony.score.median","average.rate.median","tropic.to.temperate.fraction.median","rate01.sd","rate10.sd","count0.sd","count1.sd","ntip.sd","depth.sd","total.length.sd","parsimony.score.sd","average.rate.sd","tropic.to.temperate.fraction.sd","invariant.proportion"
"34","family","Adoxaceae",0.0209067808823509,0.0488613127557597,106.5,30.5,137,76.10301,666.97141,8,0.0348778710245339,0.701203260106915,0.0130231190586261,0.357496351404443,26.4195825749451,26.4195825749451,0,0,0,2.68875323140558,0.180082722561491,0.164543209609922,0
"81","random_137_taxa","Adoxaceae_RandomTwin",0.0200249630602186,0.0471859387929279,97,40,137,105,3441.5412715,28,0.0332783713381485,0.705654832374804,0.00969542229697261,0.0319502862201982,8.63446231064444,8.63446231064444,0,1.76672611845524,190.466177410013,4.35685921533187,0.0200701306708424,0.0591477434101682,0
"1","genus","Anthemis",0.0281299518281686,0.0942004221990828,54.5,5.5,60,5.197168,76.137523,2,0.0874992934160633,0.908453190976039,0.695747534200869,1.58711364342237,23.200757563389,23.200757563389,0,0,0,1.43745004304937,0.845112829684634,0.4458061320242,16
"48","random_60_taxa","Anthemis_RandomTwin",0.0193693064229395,0.046892286722731,41,19,60,104.999999,1928.6254315,14,0.0340907456900705,0.679284879645537,0.269346157670388,0.582202543470147,4.5931877533336,4.5931877533336,0,3.06303478609053,141.242634603944,2.96271442560311,0.424238676617454,0.137819256585581,0
"35","family","Apiaceae",0.0185789250875925,0.0442447125452857,1102.5,409.5,1512,72.1,8192.454773,134,0.0313766387858284,0.705497835754804,0.00237133692070085,0.00593120179449245,173.998071509109,173.998071509109,0,0,0,23.5536331881864,0.00333231332462519,0.0350469125565242,0
"82","random_1512_taxa","Apiaceae_RandomTwin",0.0187471263526724,0.0446639753095117,1075,437,1512,105.000001,16479.940442,208,0.0314560470179478,0.699086938605936,0.00202970391608699,0.00540288977807436,81.3996773626743,81.3996773626743,0,4.82418151010988e-07,274.462788721784,17.6414199249861,0.00325808879622276,0.0258382453177979,0
"44","order","Apiales",0.0182813076351845,0.0439219458107818,1467,588,2055,84.866368,12054.480555,187.5,0.031332965245412,0.707595552773142,0.00224550861225043,0.00503316829107012,175.382920456579,175.382920456579,0,0,0,24.5265698022089,0.00305146304571119,0.0278695932390432,0
"91","random_2055_taxa","Apiales_RandomTwin",0.0187534240688203,0.043767669785953,1466.5,588.5,2055,105.000001,20002.046332,265,0.0312589070299104,0.698061721431792,0.00173244752328039,0.00415174113523744,111.252400269192,111.252400269192,0,4.68826171960269e-07,306.627802415494,23.590325015638,0.0026186852818578,0.0193074901390558,0
"36","family","Aquifoliaceae",0.020050618798631,0.050997656240617,109,30,139,61.6,786.523452,12,0.0385201157054851,0.734112007345593,0.0105941136652913,0.0472312617105671,25.4095563825021,25.4095563825021,0,0,0,3.96703588808744,0.0256821281201191,0.138916881915742,0
"83","random_139_taxa","Aquifoliaceae_RandomTwin",0.0199070359193433,0.0462984837912311,100,39,139,105,3425.150877,28,0.0333764676616903,0.701850942534729,0.0200976120097901,0.0579716361411884,9.66185355619791,9.66185355619791,0,2.22001407306974,182.698112950048,4.44340391860096,0.0386043448992864,0.0606223034229078,0
"45","order","Aquifoliales",0.0200275423455493,0.0483152583295602,120.5,36.5,157,97.026407,1387.844403,15,0.0335157599882699,0.707813180744384,0.0087610252617078,0.037363637405346,25.1811116481855,25.1811116481855,0,0,0,4.13043642373358,0.0208840375767679,0.098286300286861,0
"92","random_157_taxa","Aquifoliales_RandomTwin",0.0196661841281328,0.0482938831189559,111.5,45.5,157,105,3820.3259195,32,0.0345465804671013,0.70951303984896,0.00647795990639319,0.0179976268333124,9.40311575269527,9.40311575269527,0,2.09515702855015,185.548731959705,4.65030682163592,0.0114515045057335,0.0567162073283187,0
"37","family","Araliaceae",0.0184573231047467,0.0450686471864207,312,137,449,54.038531,2517.389082,39,0.0329804842108347,0.716755848954369,0.00557887762025491,0.017595885799378,46.233596599718,46.233596599718,0,0,0,7.25670014329495,0.00992136270464516,0.0721885956450999,0
"84","random_449_taxa","Araliaceae_RandomTwin",0.0180178244406168,0.042332418351881,312.5,136.5,449,105.000001,7624.7341045,77,0.0306786831808438,0.700137905950276,0.00378700746127297,0.0107742092605945,25.5767729225427,25.5767729225427,0,5.94503442022808e-07,253.689460454885,8.51736194754306,0.00666142489286478,0.0394557662356182,0
"2","genus","Artemisia",0.0182210551304212,0.0512159666952985,129,14,143,5.316515,230.061248,5,0.0354788765162739,0.778236694291828,0.425647541174449,2.03392112355396,52.6600839768078,52.6600839768078,0,0,0,3.13821347877799,1.04405913943493,0.440363988169329,2
"49","random_143_taxa","Artemisia_RandomTwin",0.0193171872890329,0.0444111812208942,101,42,143,105,3577.0157735,29,0.0328883978471403,0.697131968055475,0.00889091424485445,0.020248528998029,9.40283108022431,9.40283108022431,0,1.47257932343249,185.333760505061,4.50674018229441,0.013662166444697,0.059370200496651,0
"3","genus","Brachyscome",0.0238374451368684,0.0629701086226064,49,7,56,6.881498,192.038454,4,0.0498339373256552,0.749854213644168,0.175246417546156,0.503884521438366,17.1105260296141,17.1105260296141,0,0,0,2.84025891549885,0.270178077778144,0.410083861536686,3
"50","random_56_taxa","Brachyscome_RandomTwin",0.0205699545237498,0.0507493493412827,40,16,56,104.999999,1833.5330655,13,0.0355992723552912,0.705400054674534,0.132702934824439,0.259975604056314,4.52265900156583,4.52265900156583,0,3.14938767378078,126.519260212747,2.80050500496398,0.194500816033532,0.136322248087993,0
"4","genus","Brickellia",0.0186546729235569,0.0468698499953205,53,11,64,10.31257,122.934805,3,0.0358823860014477,0.845514349420382,0.054749467970676,0.806932786992286,19.4411725963017,19.4411725963017,0,0,0,1.82383212943616,0.410984874558526,0.423949609347458,13
"51","random_64_taxa","Brickellia_RandomTwin",0.0229943489093809,0.0474993550665104,45,19,64,104.999999,2048.6401515,15,0.0361268751761423,0.696746277108083,0.276625037222822,0.750855294619656,4.29012255246298,4.29012255246298,0,2.87782180361254,142.732126557639,2.9627996587994,0.509872681203075,0.12176864532745,0
"38","family","Bruniaceae",0.0226683890659983,0.0556473401733059,43,17,60,60.194727,555.307501,8,0.039763519914435,0.71720799005709,0.0388200325623948,0.89651708682645,11.1447954062183,11.1447954062183,0,0,0,2.42045158154132,0.463528108562324,0.21192478974891,0
"85","random_60_taxa","Bruniaceae_RandomTwin",0.0231952120307124,0.0532085838529201,42,18,60,104.999999,1936.891673,14,0.0377317015293211,0.700005264273102,0.40647560558799,1.03205991252761,5.05321179992977,5.05321179992977,0,3.06128152012617,131.311643828377,3.19233615100448,0.707365338579513,0.125801222306457,0
"46","order","Bruniales",0.0230429678678652,0.0548029913905404,44.5,17.5,62,92.000674,728.398875,8,0.0405867000603157,0.710041933558168,0.0373525709424916,0.904528066499306,11.188901427375,11.188901427375,0,0,0,2.53030121574967,0.46708454862304,0.173579305329067,0
"93","random_62_taxa","Bruniales_RandomTwin",0.0196927175736463,0.0471745939756052,43.5,18.5,62,105,1979.7168545,13,0.0341182255838725,0.692340737808107,1.83505317588058,4.74874135355878,5.65885379406698,5.65885379406698,0,2.9592888275461,132.735043646352,3.14973142994892,3.22965294100991,0.133917836881122,0
