"","kind","name","rate01.median","rate10.median","count0.median","count1.median","ntip.median","depth.median","total.length.median","parsimony.score.median","average.rate.median","tropic.to.temperate.fraction.median","rate01.sd","rate10.sd","count0.sd","count1.sd","ntip.sd","depth.sd","total.length.sd","parsimony.score.sd","average.rate.sd","tropic.to.temperate.fraction.sd","invariant.proportion"
"34","family","Adoxaceae",0.00410623645421374,0.00321093014046024,3,134,137,76.10301,666.97141,1,0.00379098551514947,0.140405057963594,2.50115114823672,0.0183667903826296,45.7293431866545,45.7293431866545,0,0,0,0.904534033733291,1.25969178060115,0.461743405893287,28
"81","random_137_taxa","Adoxaceae_RandomTwin",2.06115362243856e-09,0.00238555506794273,14.5,122.5,137,105,3441.5412715,6,0.00158203309640386,0.999998307414802,0.0420516881192174,0.00175680444871717,29.2775140386411,29.2775140386411,0,1.76672611845524,190.466177410013,2.45926407650333,0.0215130446782346,0.397574048070143,0
"1","genus","Anthemis",0.378164474620878,0.0149682430264895,0,60,60,5.197168,76.137523,0,0.18909409270953,0.028058380872865,2.32045453992841,0.354842885160751,23.0703447759414,23.0703447759414,0,0,0,0.358870281282637,1.16781015825414,0.392863117794619,85
"48","random_60_taxa","Anthemis_RandomTwin",0.0018261623943074,0.00252058739525886,6.5,53.5,60,104.999999,1928.6254315,3,0.00257411946063043,0.655748339895604,0.0689397486889588,0.00335526287724615,13.120282702054,13.120282702054,0,3.06303478609053,141.242634603944,1.80526726525185,0.035601750777808,0.433042370268998,1
"35","family","Apiaceae",2.06115362243856e-09,0.00225801266217795,57.5,1454.5,1512,72.1,8192.454773,16,0.00135417481702706,0.999998508907685,0.0160461587900645,0.000996814791580148,496.415319357621,496.415319357621,0,0,0,4.69363420178885,0.0080238876319281,0.356051657443771,0
"82","random_1512_taxa","Apiaceae_RandomTwin",0.000644516380395669,0.00219706839730389,166,1346,1512,105.000001,16479.940442,32,0.0013864439442555,0.77575127760902,0.00308381755106523,0.000412638590742786,315.798286853805,315.798286853805,0,4.82418151010988e-07,274.462788721784,5.94163532228547,0.00158948148320086,0.232613833601381,0
"44","order","Apiales",2.06115362243856e-09,0.00211974229548861,119,1936,2055,84.866368,12054.480555,23,0.00124579692499895,0.999998746696175,0.00242306148459491,0.000690094716299939,569.150046698202,569.150046698202,0,0,0,5.68947282356643,0.00125523849735567,0.307158135284528,0
"91","random_2055_taxa","Apiales_RandomTwin",0.000869288596084307,0.00212494313276582,226.5,1828.5,2055,105.000001,20002.046332,37,0.0015102402877449,0.721017080950936,0.00130824466451118,0.000388197000804105,429.209437586281,429.209437586281,0,4.68826171960269e-07,306.627802415494,7.24784189405454,0.000688046684800671,0.21449345117257,0
"36","family","Aquifoliaceae",0.00136763100123336,0.00312679090148212,3,136,139,61.6,786.523452,1,0.00267517088340806,0.642227358147793,0.67037307744019,0.0433330091235216,41.1873019070664,41.1873019070664,0,0,0,1.16562724259811,0.337280930915034,0.469646418285506,22
"83","random_139_taxa","Aquifoliaceae_RandomTwin",0.000697571261282547,0.00242259253387909,15,124,139,105,3425.150877,6,0.00192991895731687,0.834077943992425,0.115430741155473,0.00406543163356549,29.3666064732985,29.3666064732985,0,2.22001407306974,182.698112950048,2.24506192126254,0.0596148382945642,0.404542231135442,0
"45","order","Aquifoliales",0.00147978738335459,0.0024917252377003,8.5,148.5,157,97.026407,1387.844403,2,0.00252905763734578,0.757459361298999,0.412418910190282,0.00322773075777179,41.4831339708128,41.4831339708128,0,0,0,1.50484067413978,0.207544014001084,0.460650280650159,7
"92","random_157_taxa","Aquifoliales_RandomTwin",2.06115362243856e-09,0.00249988240543949,17,140,157,105,3820.3259195,7,0.00163790200080058,0.999998118964178,0.0321308007009252,0.00165747002415463,32.9776952475212,32.9776952475212,0,2.09515702855015,185.548731959705,2.45105625551042,0.0166555861322972,0.395096794550239,0
"37","family","Araliaceae",2.06115362243856e-09,0.00249041376413944,26.5,422.5,449,54.038531,2517.389082,5,0.00162849997939702,0.999997535844099,0.273370012228488,0.623309776402936,118.379920406949,118.379920406949,0,0,0,2.26280865967563,0.339090060885936,0.407784163577677,0
"84","random_449_taxa","Araliaceae_RandomTwin",2.06115362243856e-09,0.002276490169738,50.5,398.5,449,105.000001,7624.7341045,14,0.00133585482440219,0.999998391081117,0.0107537360338582,0.000749058193739778,93.0259934348753,93.0259934348753,0,5.94503442022808e-07,253.689460454885,3.98780970742415,0.00541056292953915,0.327227003038509,0
"2","genus","Artemisia",0.145198621414005,0.00676703255493453,0,143,143,5.316515,230.061248,0,0.140178457051825,0.022050588917006,2.85559077964044,0.256861797913873,53.4754649679211,53.4754649679211,0,0,0,0.685418105828829,1.43237808988871,0.477253516644539,66
"49","random_143_taxa","Artemisia_RandomTwin",2.06115362243856e-09,0.0022935799433884,14.5,128.5,143,105,3577.0157735,6,0.00140671012449624,0.99999855741189,0.136875136982552,0.00734549714538857,30.471341064394,30.471341064394,0,1.47257932343249,185.333760505061,2.19482863278041,0.0716876488435768,0.384515770933677,0
"3","genus","Brachyscome",0.0710846007236309,0.00553691398122743,0,56,56,6.881498,192.038454,0,0.0400706997471886,0.134091251109018,0.617846396633398,0.0112006361234378,21.3782670726676,21.3782670726676,0,0,0,0.518252697615612,0.313639277970786,0.48459028450188,74
"50","random_56_taxa","Brachyscome_RandomTwin",0.00115524561861997,0.0028179743984844,6,50,56,104.999999,1833.5330655,3,0.00228706003974206,0.766122987076957,0.811309721873036,0.0970648755235446,12.0766240516482,12.0766240516482,0,3.14938767378078,126.519260212747,1.76566581140819,0.45410818273173,0.431918971348252,1
"4","genus","Brickellia",0.0193206187464226,0.0170689009591933,0,64,64,10.31257,122.934805,0,0.0278217895661465,0.277535663407803,2.66432228928665,0.122308604041028,24.9266722588273,24.9266722588273,0,0,0,0.613320157961253,1.3473518337276,0.469062701927134,80
"51","random_64_taxa","Brickellia_RandomTwin",0.00101181408642771,0.00220622422371415,6.5,57.5,64,104.999999,2048.6401515,4,0.00168516313965478,0.846005877973808,1.67062801427685,0.02670495861532,13.6100787074962,13.6100787074962,0,2.87782180361254,142.732126557639,1.69503136051558,0.848516939338426,0.44135205985124,1
"38","family","Bruniaceae",0.00255682752087064,0.00477618514599025,1,59,60,60.194727,555.307501,1,0.00372493666670578,0.548493411694545,0.432080951071179,0.0254696403145232,16.8293394602007,16.8293394602007,0,0,0,0.937382989330865,0.221623558574318,0.46189121763374,37
"85","random_60_taxa","Bruniaceae_RandomTwin",0.000444227968236857,0.0024242940202688,6.5,53.5,60,104.999999,1936.891673,4,0.00212786568932239,0.84279393006798,2.14951999882718,0.283261853368865,12.9858664428958,12.9858664428958,0,3.06128152012617,131.311643828377,1.66153756223176,1.21624428938533,0.444615140308336,1
"46","order","Bruniales",0.0161240648302888,0.00391978193305782,2,60,62,92.000674,728.398875,1,0.00815788524809069,0.136101486653156,0.415316752150168,0.0258471811837979,17.0348751007153,17.0348751007153,0,0,0,1.00799831649691,0.212866060932929,0.469843488823592,28
"93","random_62_taxa","Bruniales_RandomTwin",0.00236890600846979,0.00251541164887166,6.5,55.5,62,105,1979.7168545,3,0.002728247489949,0.561849724234318,0.0766172566633271,0.00436755880388781,13.2756745724477,13.2756745724477,0,2.9592888275461,132.735043646352,1.57300458815079,0.0401203290628843,0.436707497655697,1
"5","genus","Bupleurum",0.0106087885888925,0.00582032244648021,1,66,67,24.160723,366.945112,0,0.0372430407006514,0.0351435007745728,2.3659192427014,0.101730878891989,24.2182396410873,24.2182396410873,0,0,0,0.697687377532141,1.20551768310394,0.466206518214574,51
"52","random_67_taxa","Bupleurum_RandomTwin",0.00300253331652662,0.00261767728747836,7,60,67,104.999999,2068.8670145,4,0.00292683181268838,0.406706981636361,0.117731001214356,0.00586506147635291,14.1554536729442,14.1554536729442,0,2.87396003825621,144.957832444909,1.76200069938876,0.0615317872106194,0.426755208095111,2
"6","genus","Campanula",0.000850681344944498,0.00285370012317239,8.5,211.5,220,42.551648,1827.231695,3.5,0.00230542603438155,0.992172641885452,0.276017910705702,0.13930758642415,71.4451856002526,71.4451856002526,0,0,0,2.19446042699716,0.151955832686177,0.459768668950573,4
"53","random_220_taxa","Campanula_RandomTwin",0.000565049633004165,0.00227113561615665,23.5,196.5,220,105.000001,4744.6288325,9,0.00173718421415536,0.86229263227706,0.0239442265921329,0.00117289151435688,46.5375041544913,46.5375041544913,0,1.12182034803591,208.042534958119,2.81545159375324,0.0122010216021848,0.383311111839144,0
"39","family","Campanulaceae",2.06115362243856e-09,0.00218608515352316,54.5,679.5,734,72.733325,6141.428401,12,0.00133240144916293,0.999998498314067,0.0183666162970681,0.171346649569148,184.625834015336,184.625834015336,0,0,0,3.91901605874317,0.085961200296303,0.349411006725231,0
"86","random_734_taxa","Campanulaceae_RandomTwin",0.000403229055470772,0.00214239542625138,83,651,734,105.000001,10539.8669575,19,0.0013303747775396,0.849894255573023,0.0114105973941643,0.000557729620725638,154.627896133351,154.627896133351,0,4.96858818728659e-07,260.716540851194,4.40266218820322,0.00580549645079625,0.300006880592667,0
"40","family","Caprifoliaceae",2.06115362243856e-09,0.00213366726423662,18.5,355.5,374,62.734189,3026.464372,5.5,0.00141906780678745,0.999998470096653,0.0994032479441654,0.184480818837321,87.4555997017453,87.4555997017453,0,0,0,2.50403714433353,0.103989133025185,0.403368004260827,0
"87","random_374_taxa","Caprifoliaceae_RandomTwin",2.06115362243856e-09,0.00217151060997389,39,335,374,105,6754.135858,13,0.00130446934943433,0.999998307538587,0.0108148357983727,0.00081051544222614,78.9522909257498,78.9522909257498,0,5.21361852972249e-07,202.980745030243,3.57708758007902,0.00553327511697037,0.312433226662272,0
"7","genus","Centaurea",0.0079158759132498,0.00559156298622374,1,183,184,89.88259,403.838039,1,0.00395802347328561,0.0171505906285103,2.36802358918464,0.0674659469992463,71.4729100337105,71.4729100337105,0,0,0,0.71484970518991,1.19024882874306,0.437876350336829,35
"54","random_184_taxa","Centaurea_RandomTwin",0.000230417585677661,0.0023717329295865,18.5,165.5,184,105,4241.983234,8,0.00166694362758175,0.94976538991404,0.176004320270732,0.00478260940754904,38.0544479673666,38.0544479673666,0,1.60804348748186,179.341452447973,2.49411428379015,0.090352433751555,0.380719233279963,0
"8","genus","Cirsium",0.00842436962785818,0.00851891946864133,0,67,67,7.959515,120.43326,0,0.00855077215033979,0.984844345462319,0.646454858436788,1.5398795458664,26.0080387728118,26.0080387728118,0,0,0,0.483672817035849,0.81887744589449,0.460009365641352,81
"55","random_67_taxa","Cirsium_RandomTwin",2.06115362243856e-09,0.00243927726963369,8,59,67,104.999999,2090.494979,4,0.00182255006325434,0.999997921057998,0.0750152268705758,0.00486791807456895,14.0778642778748,14.0778642778748,0,2.90899900911806,143.283632652089,1.79615189117224,0.0396618346273586,0.429334480769149,1
"9","genus","Crepis",2.06115362243856e-09,0.00528709225311427,1,66,67,23.561982,392.302428,1,0.00680338323990203,0.999999198351233,0.311076215106164,0.161869961031092,25.1952456634263,25.1952456634263,0,0,0,1.00196776092816,0.169636849031079,0.478645745486644,47
"56","random_67_taxa","Crepis_RandomTwin",2.21134970756203e-09,0.00228473161424403,7,60,67,105,2081.23859,4,0.00195413372230325,0.99999806225823,0.18047133922877,0.00797847653410144,14.4023391758899,14.4023391758899,0,3.01056211405934,146.240470048679,1.4694189052792,0.0940418546611613,0.420362503722692,2
"47","order","Dipsacales",2.06115362243856e-09,0.00204258557768395,31,480,511,87.373349,3729.345281,6,0.00145712648866886,0.999998487543549,0.0521252228104791,0.00111250789393981,103.003954028253,103.003954028253,0,0,0,2.5497870776624,0.0263405086210165,0.357058993916315,0
"94","random_511_taxa","Dipsacales_RandomTwin",0.000708044152022804,0.00225867054189293,60.5,450.5,511,105.000001,8315.388678,16,0.00156267135588413,0.787600685561276,0.0129603246664923,0.000611783171076954,107.216622034105,107.216622034105,0,5.93227773039044e-07,250.244335301095,3.7597549887935,0.00658910670343373,0.311432102474094,0
"10","genus","Erigeron",2.06115362243856e-09,0.00446612946488023,1,74,75,10.548211,228.792595,0,0.0031390607313327,0.999999533462062,3.11962777296519,0.198910667225198,27.8963648477211,27.8963648477211,0,0,0,0.65897073094518,1.58666352920831,0.457950604218148,60
