"","median.avg.rate","sd.avg.rate","ntax","sims.with.variation","median.fraction.rate.01"
"ENTIRE",0.0313715330547321,0.00141068657983877,10700,85,0.297852697136985
"Senecio",0.035451477650229,0.301918611148417,261,85,0.260644402880361
"Campanula",0.0330629577247683,0.0118104000891593,220,85,0.270765508053528
"Centaurea",0.0431609594743053,0.159094481178163,184,84,0.350256405852733
"Helichrysum",0.0337783684162985,0.1771218628064,165,85,0.32974461981142
"Artemisia",0.0349162419054412,0.609640917940368,143,85,0.240148483010754
"Ilex",0.0357895714993118,0.0199166691673959,139,85,0.294060063098479
"Eryngium",0.0555251088819368,0.517251106252192,130,85,0.23528632832078
"Viburnum",0.0463617176714907,0.722754333340783,119,84,0.264810701713661
"Saussurea",0.029457321583495,0.214084117497807,115,84,0.304293509543384
"Valeriana",0.0335143912712254,0.037061690968024,115,85,0.336472107929416
"Schefflera",0.0362511865301032,0.0353743018539297,109,85,0.272653716743532
"Polyscias",0.038578643174902,0.246653680706682,94,84,0.254325839591358
"Goodenia",0.0301801609335252,0.0361656991289047,87,85,0.281576054074002
"Lobelia",0.0333569463710746,0.0269927217744737,82,85,0.302678344760824
"Lonicera",0.0323093437714311,0.134515794780825,81,85,0.309432998721731
"Stevia",0.0378968994915541,6.0353894166583,78,76,0.135587399495187
"Erigeron",0.01964241339428,0.512073874367601,75,81,0.626390802233169
"Ferula",0.0312719259610271,1.48619275710302,75,78,0.233470494801193
"Wahlenbergia",0.0333099730145402,0.0512345368311898,71,85,0.31020850986332
"Bupleurum",0.0298241141465915,0.0907752832191095,67,84,0.376122451306181
"Cirsium",0.0360977387870014,0.618664444256337,67,81,0.100754030217225
"Crepis",0.031099140209075,0.0708082590982134,67,85,0.397892320347865
"Scaevola",0.0339939798534141,0.115766165540943,67,85,0.253124207774172
"Brickellia",0.034576934602817,0.533233577526809,64,76,0.184309140937601
"Olearia",0.0263471596791885,0.401832156967877,64,85,0.354726721119314
"Taraxacum",0.0245434464094253,0.206711806268442,63,82,0.427318435789826
"Anthemis",0.11528559749026,1.07390026990164,60,67,0.154596965999092
"Brachyscome",0.0422512890931623,0.326531162612565,56,83,0.0957705055543699
"Pimpinella",0.0335136843401685,0.0957040532287536,56,82,0.300391058904665
"Pectis",0.0565573677286214,0.936813187973581,55,82,0.286589427138452
"Lomatium",0.028116817332023,0.445225712469007,53,80,0.32069769840031
"Metalasia",0.034468442328995,1.52842570067687,51,54,0.882904499886395
"Symphyotrichum",0.0262952081301236,6.1268141367321,50,72,0.696775960800646
"Bidens",0.0470378683221333,6.19543498941959,49,77,0.33136603024992
"Tragopogon",0.0307119608651269,0.446643353000836,49,67,0.264118304333963
"Ligularia",0.0516496740194322,0.423992122227029,48,80,0.29137185972132
"Viguiera",0.0342267773159293,0.916690254206742,48,80,0.132389538336431
"Echinops",0.0270645667005456,1.67407674007928,47,79,0.235012379267118
"Pittosporum",0.040930050052953,0.410781661634142,47,85,0.286051591279614
"Chaerophyllum",0.0400038069554338,6.65413069971819,45,79,0.252301619687884
"Espeletia",0.073132934471706,1.99416764829441,45,46,0.40051124382396
"Helianthus",0.0680551947252786,8.40558365837681,44,50,0.305921731546022
"Sonchus",0.0420653790890895,0.60727488382924,44,67,0.245932551404284
"Coreopsis",0.0371030579510482,0.405747088971537,43,81,0.373411455979081
"Aralia",0.0322627560922827,0.843617867712498,42,83,0.226760773127634
"Heracleum",0.0297649675625954,7.37296069258879,42,72,0.106132116998398
"Hieracium",0.0263089864441186,6.6704910132768,42,65,0.843700721682642
"Achillea",0.0282631024658733,0.621564578702938,41,64,0.419699711239343
"Anaphalis",0.10151155631144,1.0237844320301,41,63,0.0307772427914135
"Angelica",0.0282522748072257,0.252929145333168,41,77,0.118680233957725
"Euryops",0.027944131638197,0.663763403884747,41,73,0.131813531510857
"Tanacetum",0.033716422817903,5.94997417918227,41,74,0.0767984268464943
"Centropogon",0.0467509404727644,0.269690971219647,39,76,0.19448255927375
"Hypochaeris",0.0285135523582745,0.324062292363632,39,81,0.313646158700668
"Melampodium",0.0282833845900643,0.344386666179154,39,83,0.327400959806223
"Ozothamnus",0.0467634476138145,0.278495023668994,38,82,0.276503941180483
"Aster",0.0507108397495299,0.307707210705625,37,78,0.264509628078869
"Dampiera",0.0307049403112952,0.168806450715544,37,85,0.21371654057893
"Inula",0.031468263952913,0.918449263940131,36,75,0.0640969944233107
"Codonopsis",0.0395274771784076,0.0742889444569776,35,84,0.25670354567095
"Chaetanthera",0.0427150009724921,0.202975289530159,34,82,0.258344879114261
"Dendropanax",0.043467764662169,1.32169757519605,33,78,0.243826648967918
"Grindelia",0.0592732200514602,1.99789240425785,33,26,0.73230702576646
"Solidago",0.17180249305274,1.12828244567675,33,29,0.419623171477985
"Sanicula",0.03848314105722,0.512464119630791,32,81,0.30920556585947
"Escallonia",0.0815335913025117,0.950163138897273,31,74,0.126740444011178
"Felicia",0.0406336980667472,0.296157784858142,31,81,0.237406508764537
"Pluchea",0.0233281236750319,0.601194569382412,31,75,0.167562213625251
"Scorzonera",0.0407642694857463,0.495846740977477,31,81,0.303816256181869
"Blumea",0.024206632814408,0.279674804465612,30,83,0.352455918985552
"Pulicaria",0.0280389980241319,0.750300497727883,30,71,0.295266233179829
"Cassinia",0.582910698478127,3.01218697466312,29,25,0.0514374451572258
"Ericameria",0.030620454870976,0.828898866627639,29,46,0.426874280206853
"Siphocampylus",0.0241419789648226,0.137290028661268,29,79,0.612738256630007
"Jacobaea",0.0610271606701795,0.563060363186981,28,71,0.259357601581595
"Leptinella",0.0339116210751876,0.383847426261962,28,70,0.248049939422927
"Nymphoides",0.0324215305855773,0.537189417672157,28,72,0.248354673218007
"Arctotis",0.0625136010528763,4.24909402171164,27,52,0.0769374863397441
"Arnica",0.256035559870737,8.38703458620974,27,53,0.12734346497342
