species	region	tot.records
Aciphylla_glacialis	0	122
Anisotome_haastii	0	415
Gingidia_montana	0	219
Gingidia_enysii	0	12
Gingidia_algens	0	44
Gingidia_trifoliolata	0	152
Gingidia_decipiens	0	115
Gingidia_flabellata	0	5
Gingidia_harveyana	0	91
Scandia_rosifolia	0	34
Scandia_geniculata	0	56
Lignocarpa_diversifolia	0	9
Anisotome_aromatica	0	2006
Anisotome_filifolia	0	229
Anisotome_deltoidea	0	7
Aciphylla_aurea	0	651
Aciphylla_monroi	0	444
Aciphylla_squarrosa	0	236
Aciphylla_subflabellata	0	82
Aciphylla_dieffenbachii	0	8
Aciphylla_congesta	0	21
Aciphylla_leighii	0	2
Aciphylla_traversii	0	3
Anginon_difforme	0	12
Anginon_fruticosum	0	5
Anginon_intermedium	0	5
Anginon_jaarsveldii	0	1
Anginon_pumilum	0	2
Anginon_rugosum	0	2
Anginon_tenuior	0	1
Anginon_verticillatum	0	5
Dracosciadium_saniculifolium	0	2
Glia_prolifera	0.571428571428571	7
Heteromorpha_arborescens	0.813253012048193	166
Heteromorpha_involucrata	0.782608695652174	23
Heteromorpha_papillosa	0	2
Heteromorpha_pubescens	0.714285714285714	7
Heteromorpha_stenophylla	0.625	8
Polemannia_grossulariifolia	0	7
Polemannia_montana	0	8
Polemannia_simplicior	0	8
Pseudocarum_eminii	1	3
Pseudocarum_laxiflorum	1	33
Dracosciadium_italae	0	5
Anginon_paniculatum	0	3
Lecokia_cretica	0	32
Smyrnium_connatum	0	19
Smyrnium_cordifolium	0	4
Smyrnium_creticum	0	25
Smyrnium_galaticum	0	1
Smyrnium_perfoliatum	0	477
Smyrnium_olusatrum	0	1873
Changium_smyrnioides	0	21
Cyclorhiza_waltonii	0.0344827586206897	29
Chuanminshen_violaceum	0	3
Cyclorhiza_peucedanifolia	0.166666666666667	12
Annesorhiza_altiscapa	0	10
Annesorhiza_fibrosa	0	1
Annesorhiza_filicaulis	0	1
Annesorhiza_latifolia	0	2
Annesorhiza_macrocarpa	0.142857142857143	7
Astydamia_latifolia	0	50
Notobubon_capense	0.1	20
Chamarea_gracillima	0	3
Chamarea_snijmaniae	0	1
Itasina_filifolia	0	6
Ezosciadium_capense	0.333333333333333	3
Choritaenia_capensis	0.125	8
Lichtensteinia_kolbeana	0.4	10
Lichtensteinia_trifida	0	23
Lichtensteinia_interrupta	0.142857142857143	14
Lichtensteinia_latifolia	0	4
Lichtensteinia_obscura	0	11
Mutellina_purpurea	0	260
Conioselinum_chinense	0	85
Ligusticum_porteri	0.176470588235294	136
Conioselinum_scopulorum	0	59
Ligusticum_canadense	0	10
Meum_athamanticum	0	1432
Dethawia_splendens	0	258
Arcuatopterus_sikkimensis	0.666666666666667	3
Chamaesium_paradoxum	0	38
Chamaesium_thalictrifolium	0	19
Chamaesium_wolffianum	0	1
Diplolophium_somaliense	0	1
Bupleurum_longiradiatum	0.0540540540540541	37
Bupleurum_scorzonerifolium	0.0487804878048781	41
Bupleurum_multinerve	0	5
Bupleurum_densiflorum	0	7
Bupleurum_euphorbioides	0	4
Bupleurum_condensatum	0	11
Bupleurum_triradiatum	0	23
Bupleurum_smithii	0	16
Bupleurum_hamiltonii	0.560975609756098	41
Bupleurum_gracilipes	0.666666666666667	3
Bupleurum_marginatum	0.213592233009709	103
Bupleurum_wenchuanense	0	5
Bupleurum_candollei	0.411764705882353	17
Bupleurum_dielsianum	0	2
Bupleurum_malconense	0	15
Bupleurum_longicaule	0.291666666666667	24
Bupleurum_commelynoideum	0	19
Bupleurum_sibiricum	0	4
Bupleurum_rockii	0.25	12
Bupleurum_petiolulatum	0.151515151515152	33
Bupleurum_polyclonum	1	1
Bupleurum_angustissimum	0	4
Bupleurum_chinense	0	55
Bupleurum_kaoi	1	1
Bupleurum_thianschanicum	0	1
Bupleurum_aureum	0	9
Bupleurum_krylovianum	0	1
Bupleurum_microcephalum	0	23
Bupleurum_luxiense	0.5	2
Bupleurum_kunmingense	1	1
Bupleurum_boissieuanum	0	5
Bupleurum_chaishoui	0	2
Falcaria_vulgaris	0.00131926121372032	5306
Bupleurum_komarovianum	0	1
Bupleurum_yunnanense	0.333333333333333	6
Bupleurum_bicaule	0	9
Bupleurum_dalhousieanum	0	18
Bupleurum_gracillimum	0.0909090909090909	33
Bupleurum_yinchowense	0	3
Bupleurum_acutifolium	0	42
Bupleurum_angulosum	0	301
Bupleurum_balansae	0	7
Bupleurum_baldense	0	1616
Bupleurum_dianthifolium	0	7
Bupleurum_benoistii	0	3
Bupleurum_canescens	0	4
Bupleurum_dumosum	0	1
Bupleurum_fruticescens	0	2775
Bupleurum_fruticosum	0	1085
Bupleurum_gerardii	0	77
Bupleurum_gibraltaricum	0	310
Bupleurum_lancifolium	0	297
Bupleurum_lateriflorum	0	6
Bupleurum_longifolium	0	222
Bupleurum_montanum	0	6
Bupleurum_mundtii	0	4
Bupleurum_odontites	0	54
Bupleurum_oligactis	0	4
Bupleurum_praealtum	0	648
Bupleurum_ranunculoides	0	739
Bupleurum_rotundifolium	0.00169109357384442	1774
Bupleurum_salicifolium	0	65
Bupleurum_semicompositum	0	1409
Bupleurum_stellatum	0	119
Bupleurum_tenuissimum	0	1540
Bupleurum_falcatum	0	239
Oliveria_decumbens	0	1
Anisosciadium_chrysanthum	0	3
Echinophora_cinerea	0	1
Echinophora_platyloba	0	1
Anisosciadium_tenuifolium	0	2
Echinophora_tournefortii	0	3
Rughidia_cordata	0	4
Dicyclophora_persica	0	1
Pycnocycla_aucheriana	0	8
Pycnocycla_spinosa	0	2
Anisosciadium_isosciadium	0	1
Anisosciadium_orientale	0	1
Schulzia_crinita	0	4
Sison_amomum	0	2990
Bunium_bulbocastanum	0	1682
Bunium_paucifolium	0	41
Gongylotaxis_rechingeri	0	2
Oreoschimperella_verrucosa	1	11
Schrenkia_involucrata	0	3
Schrenkia_kultiassovii	0	1
Schrenkia_vaginata	0	3
Tamamschjanella_cruciata	0	1
Astomaea_seselifolia	0	13
Trachyspermum_scaberulum	0.470588235294118	34
Trachyspermum_triradiatum	0	4
Scaligeria_napiformis	0	94
Pyramidoptera_cabulica	0	4
Ammoides_pusilla	0	293
Sison_segetum	0	1256
Hellenocarum_multiflorum	0	47
Bunium_elegans	0	9
Trachyspermum_ammi	0.0338983050847458	59
Hyalolaena_jaxartica	0	1
Indoschulzia_hameliana	1	1
Ormopterum_turcomanicum	0	2
Schulzia_albiflora	0	3
Elaeosticta_meifolia	0	1
Scaligeria_hirtula	0	1
Elaeosticta_lutea	0	3
Scaligeria_polycarpa	0	1
Oedibasis_apiculata	0	1
Scaligeria_halophila	0	2
Scaligeria_moreana	0	3
Cyclospermum_leptophyllum	0.247817327065144	2978
Crithmum_maritimum	0	727
Angelica_japonica	0	3
Peucedanum_terebinthaceum	0.130434782608696	23
Angelica_cartilaginomarginata	0	28
Angelica_acutiloba	0.0769230769230769	26
Cnidium_monnieri	0.252427184466019	103
Cymopterus_filifolius	0.5	2
Angelica_grayi	0	43
Aulospermum_aboriginum	0	63
Cymopterus_beckii	0	3
Aulospermum_cinerarium	0	61
Vesper_constancei	0	8
Cymopterus_coulteri	0	2
Cymopterus_davisii	0	5
Cymopterus_deserticola	0	18
Cymopterus_gilmanii	0	41
Cymopterus_goodrichii	0	1
Cymopterus_lapidosus	0	1
Cymopterus_panamintensis	0	25
Cymopterus_rosei	0	15
Lomatium_bradshawii	0	4
Oreonana_clementis	0	58
Oreonana_purpurascens	0	28
Oreonana_vestita	0	96
Oreoxis_trotteri	0	4
Podistera_macounii	0	14
Podistera_nevadensis	0	45
Podistera_yukonensis	0	3
Cymopterus_longiradiatus	0	1
Cymopterus_davidsonii	0	2
Pteryxia_hendersonii	0	46
Tauschia_glauca	0	52
Tauschia_kelloggii	0	83
Aulospermum_minimum	0	15
Polytaenia_texana	0.117117117117117	111
Tauschia_arguta	0	395
Seseli_gummiferum	0	7
Hippomarathrum_praecox	0	3
Hippomarathrum_galloprovinciale	0	219
Libanotis_pyrenaica	0	3343
Angelica_pyrenaea	0	197
Selinum_carvifolia	0	6501
Selinum_broteroi	0	1
Angelica_lignescens	0	1
Seseli_tortuosum	0	466
Seseli_longifolium	0	189
Seseli_peucedanoides	0	182
Thysselinum_palustre	0	20780
Thysselinum_lancifolium	0	301
Canaria_tortuosa	0	16
Ligusticopsis_wallichiana	0.235294117647059	17
Selinum_vaginatum	0	1
Cortiella_hookeri	0	1
Selinum_dubium	0	64
Lomatocarpa_albomarginata	0.5	2
Angelica_laxifoliata	0.0666666666666667	15
Angelica_duclouxii	0	3
Angelica_keiskei	0	20
Angelica_longicaudata	0.333333333333333	3
Angelica_songpanensis	0	1
Angelica_brevicaulis	0	4
Angelica_saxatilis	0	4
Seseli_yunnanense	0.722222222222222	18
Trinia_glauca	0	1501
Cortiella_caespitosa	0	24
Peucedanum_officinale	0	701
Imperatoria_ostruthium	0	1419
Pteroselinum_austriacum	0	33
Anthriscus_sylvestris	3.23886639676113e-05	123500
Cervaria_rivini	0	2495
Vicatia_atrosanguinea	0.0277777777777778	36
Seseli_squarrulosum	0	16
Ferulopsis_hystrix	0	6
Dichoropetalum_aromaticum	0	1
Dichoropetalum_golestanicum	0	1
Dichoropetalum_paucijugum	0	9
Dichoropetalum_seseloides	0	3
Seseli_elatum	0	159
Trinia_hispida	0	1
Vicatia_coniifolia	0.117647058823529	17
Selinum_cryptotaenium	0.333333333333333	6
Melanosciadium_bipinnatum	0	1
Angelica_gigas	0	7
Carlesia_sinensis	0	4
Mathiasella_bupleuroides	0.833333333333333	12
Dahliaphyllum_almedae	1	1
Angelica_breweri	0	115
Cymopterus_globosus	0.0333333333333333	30
Aletes_humilis	0	18
Selinum_silaifolium	0	2
Thaspium_trifoliatum	0	158
Angelica_shikokiana	0	1
Peucedanum_praeruptorum	0.382352941176471	68
Angelica_anomala	0	26
Angelica_ursina	0	11
Angelica_genuflexa	0	29
Angelica_pubescens	0	101
Angelica_lucida	0	92
Ligusticopsis_brachyloba	0.230769230769231	26
Peucedanum_caespitosum	0	2
Peucedanum_medicum	0.434782608695652	23
Peucedanum_wawrae	0	17
Aletes_acaulis	0.0416666666666667	24
Angelica_arguta	0	58
Cymopterus_glomeratus	0	214
Aulospermum_glaucum	0	16
Cymopterus_newberryi	0	26
Cymopterus_nivalis	0	22
Aulospermum_planosum	0.0555555555555556	18
Cymopterus_purpureus	0	66
Cymopterus_ripleyi	0	23
Lomatium_ambiguum	0	134
Lomatium_bentonitum	0	3
Lomatium_bicolor	0.00495049504950495	202
Lomatium_brandegeei	0	16
Lomatium_brunsfeldianum	0	1
Lomatium_californicum	0	147
Lomatium_canbyi	0	129
Lomatium_columbianum	0	35
Lomatium_cookii	0	2
Lomatium_cous	0.00869565217391304	115
Lomatium_cusickii	0	30
Lomatium_dissectum	0.00757575757575758	132
Lomatium_donnellii	0	86
Lomatium_eastwoodiae	0	8
Lomatium_foeniculaceum	0	424
Lomatium_geyeri	0	118
Lomatium_gormanii	0	73
Lomatium_graveolens	0	56
Lomatium_grayi	0	306
Lomatium_hallii	0	60
Lomatium_farinosum	0	3
Lomatium_hendersonii	0	27
Lomatium_howellii	0	94
Lomatium_idahoense	0	9
Lomatium_macrocarpum	0	476
Lomatium_nevadense	0.00191570881226054	522
Lomatium_nudicaule	0	282
Lomatium_packardiae	0	4
Lomatium_pastorale	0	4
Lomatium_piperi	0	78
Lomatium_quintuplex	0	11
Lomatium_ravenii	0	51
Lomatium_rollinsii	0	5
Lomatium_salmoniflorum	0	4
Lomatium_serpentinum	0	16
Lomatium_tamanitchii	0	1
Lomatium_thompsonii	0	9
Lomatium_triternatum	0	488
Lomatium_vaginatum	0	89
Lomatium_watsonii	0	12
Musineon_divaricatum	0	89
Musineon_lineare	0	5
Musineon_vaginatum	0	3
Neoparrya_lithophila	0	12
Oreoxis_alpina	0	67
Orogenia_fusiformis	0	45
Polytaenia_nuttallii	0.0170940170940171	234
Cymopterus_lemmonii	0.0965909090909091	176
Pteryxia_petraea	0.0101010101010101	99
Pteryxia_terebinthina	0.00280898876404494	356
Shoshonea_pulvinata	1	1
Angelica_capitellata	0	451
Taenidia_integerrima	0	216
Vesper_macrorhizus	0	25
Vesper_multinervatus	0.0454545454545455	44
Zizia_aurea	0	721
Seseli_mairei	0.722222222222222	36
Angelica_dahurica	0.314814814814815	54
Peucedanum_sandwicense	0	1
Seseli_gracile	0	1
Cortia_depressa	0.0740740740740741	27
Tommasinia_verticillaris	0	15
Exoacantha_heterophylla	0	35
Lomatium_parvifolium	0	79
Lomatium_repostum	0	40
Lomatium_greenmanii	0	6
Lomatium_nuttallii	0	16
Lomatium_rigidum	0	60
Lomatium_shevockii	0	8
Lomatium_lucidum	0	184
Chymsydia_colchica	0	2
Libanotis_krylovii	0	1
Libanotis_depressa	0	4
Dichoropetalum_achaicum	0	2
Angelica_sinensis	0.212121212121212	33
Cotopaxia_asplundii	1	4
Niphogeton_dissecta	0.980952380952381	105
Perissocoeleum_barclayae	1	4
Arracacia_longipedunculata	1	28
Prionosciadium_cuneatum	0.888888888888889	9
Prionosciadium_megacarpum	1	9
Prionosciadium_serratum	0.833333333333333	6
Prionosciadium_thapsoides	0.909090909090909	143
Prionosciadium_townsendii	0.833333333333333	6
Rhodosciadium_glaucum	0.923076923076923	26
Siculosciadium_nebrodense	0	1
Ormosolenia_alpina	0	1
Peucedanum_wulongense	1	1
Peucedanum_formosanum	1	31
Peucedanum_longshengense	0.888888888888889	9
Dichoropetalum_palimbioides	0	7
Angelica_nubigena	0.0714285714285714	14
Angelica_biserrata	0.5	6
Angelica_kangdingensis	0	1
Angelica_likiangensis	0	4
Angelica_maowenensis	0	11
Angelica_morii	0.964285714285714	28
Angelica_nitida	0	7
Angelica_polymorpha	0.00595238095238095	168
Angelica_pseudoselinum	0	13
Angelica_megaphylla	0.5	10
Angelica_tsinlingensis	0	3
Angelica_valida	0.333333333333333	9
Aethusa_cynapium	0	19758
Arracacia_aegopodioides	0.968292682926829	410
Arracacia_xanthorrhiza	0.938775510204082	49
Arracacia_bracteata	0.964285714285714	28
Arracacia_compacta	0.666666666666667	9
Arracacia_ebracteata	1	8
Tauschia_edulis	1	9
Arracacia_elata	1	38
Arracacia_equatorialis	1	3
Arracacia_filipes	1	4
Arracacia_fruticosa	0	3
Arracacia_hemsleyana	1	16
Arracacia_hintonii	0.857142857142857	14
Arracacia_macvaughii	1	11
Arracacia_molseedii	1	9
Arracacia_moschata	1	35
Arracacia_nelsonii	0.953488372093023	43
Arracacia_pringlei	0.916666666666667	12
Arracacia_quadrifida	0.928571428571429	14
Arracacia_ravenii	1	4
Arracacia_rigida	0.935064935064935	77
Arracacia_schneideri	0.930232558139535	43
Arracacia_ternata	0.833333333333333	24
Arracacia_tolucensis	0.696969696969697	33
Tauschia_vaginata	1	12
Coaxana_bambusioides	1	8
Coaxana_purpurea	1	9
Coulterophytum_pubescens	0	1
Donnellsmithia_ampulliformis	1	2
Donnellsmithia_biennis	0.96	25
Donnellsmithia_breedlovei	1	5
Donnellsmithia_cordata	0.884615384615385	26
Donnellsmithia_dissecta	1	3
Donnellsmithia_guatemalensis	1	15
Donnellsmithia_juncea	0.95679012345679	162
Donnellsmithia_mexicana	1	178
Donnellsmithia_ovata	0.857142857142857	21
Donnellsmithia_pinnatisecta	1	10
Donnellsmithia_serrata	0.966666666666667	30
Donnellsmithia_ternata	0.898305084745763	59
Enantiophylla_heydeana	1	81
Myrrhidendron_glaucescens	1	35
Myrrhidendron_maxonii	1	16
Myrrhidendron_pennellii	1	13
Neonelsonia_acuminata	1	91
Niphogeton_glaucescens	1	63
Niphogeton_stricta	1	3
Ottoa_oenanthoides	1	106
Prionosciadium_dissectum	0.857142857142857	7
Prionosciadium_diversifolium	0.939393939393939	33
Prionosciadium_filifolium	0.5	2
Lomatium_caruifolium	0.772727272727273	22
Prionosciadium_lilacinum	1	2
Prionosciadium_linearifolium	0.583333333333333	12
Prionosciadium_macrophyllum	1	6
Prionosciadium_madrense	0.947368421052632	38
Prionosciadium_nelsonii	0.935483870967742	31
Prionosciadium_acuminatum	1	3
Prionosciadium_turneri	1	2
Rhodosciadium_diffusum	0.956521739130435	23
Rhodosciadium_dissectum	1	11
Rhodosciadium_longipes	1	11
Rhodosciadium_macvaughiae	1	3
Rhodosciadium_montanum	0.72	25
Rhodosciadium_nelsonii	1	5
Rhodosciadium_nudicaule	1	8
Rhodosciadium_pringlei	0.983333333333333	60
Rhodosciadium_purpureum	1	14
Rhodosciadium_tolucense	0.829787234042553	188
Rhodosciadium_tuberosum	0.814814814814815	27
Angelica_laevigata	0	2
Niphogeton_azorelloides	1	12
Niphogeton_chirripoi	1	20
Niphogeton_josei	1	24
Niphogeton_lingula	1	22
Niphogeton_scabra	0.833333333333333	6
Niphogeton_ternata	1	91
Saposhnikovia_divaricata	0.111111111111111	45
Sajanella_monstrosa	0	3
Stenocoelium_athamantoides	0	1
Peucedanum_falcaria	0	2
Glehnia_littoralis	0.136363636363636	22
Aletes_anisatus	0	7
Cymopterus_sessiliflorus	0.25	4
Angelica_pinnata	0	18
Angelica_roseana	0	5
Aulospermum_basalticum	0.166666666666667	6
Vesper_bulbosus	0	53
Aulospermum_duchesnense	0.0384615384615385	26
Cymopterus_evertii	0.5	2
Aulospermum_ibapense	0.0833333333333333	12
Cymopterus_jonesii	0	20
Aulospermum_longipes	0	49
Vesper_montanus	0	21
Vesper_purpurascens	0	66
Cymopterus_williamsii	0.5	2
Harbouria_trachypleura	0	78
Lomatium_junceum	0.125	8
Lomatium_juniperinum	0	34
Lomatium_latilobum	0	6
Lomatium_orientale	0	91
Lomatium_scabrum	0	15
Musineon_tenuifolium	0	14
Oreoxis_bakeri	0	16
Oreoxis_humilis	0	3
Podistera_eastwoodiae	0	33
Prionosciadium_simplex	1	1
Tauschia_parishii	0	295
Tauschia_texana	1	1
Thaspium_barbinode	0	168
Zizia_aptera	0	193
Heracleum_oncosepalum	0.25	4
Peucedanum_turgeniifolium	0.105263157894737	19
Peucedanum_rubricaule	0.818181818181818	11
Peucedanum_dissolutum	0.428571428571429	7
Peucedanum_songpanense	0	1
Rhysopterus_plurijugus	0	46
Orogenia_linearifolia	0	45
Libanotis_buchtormensis	0	39
Afrosciadium_magalismontanum	0	4
Peucedanum_zenkeri	1	7
Lefebvrea_grantii	0.939393939393939	33
Peucedanum_gallicum	0	1467
Peucedanum_multivittatum	0	23
Dichoropetalum_scoparium	0	5
Thecocarpus_meifolius	0	2
Dystaenia_ibukiensis	0	6
Angelica_archangelica	0.000116306117701791	8598
Libanotis_eriocarpa	0	1
Libanotis_sibirica	0	7
Melanosciadium_pimpinelloideum	0.416666666666667	12
Peucedanum_guangxiense	1	2
Coulterophytum_laxum	1	11
Endressia_castellana	0	304
Lomatium_dasycarpum	0	582
Rhodosciadium_argutum	1	5
Cortia_candollei	0.3	10
Angelica_ampla	0	23
Libanotis_coreana	0	21
Kitagawia_litoralis	0	2
Peucedanum_hispanicum	0	103
Oreoselinum_majus	0	842
Peucedanum_coriaceum	0	4
Dichoropetalum_schottii	0	25
Xanthoselinum_alsaticum	0	356
Angelica_decursiva	0.203703703703704	216
Peucedanum_japonicum	0.125	16
Vicatia_thibetica	0	2
Pterocyclus_forrestii	0.181818181818182	11
Silaum_silaus	0	5166
Conioselinum_tataricum	0.0144927536231884	69
Cenolophium_denudatum	0	4
Lithosciadium_multicaule	0	1
Levisticum_officinale	0	1035
Pterocyclus_rivulorum	0.222222222222222	9
Pimpinella_aurea	0	5
Pimpinella_cappadocica	0	1
Pimpinella_corymbosa	0	18
Pimpinella_cretica	0	227
Pimpinella_eriocarpa	0	23
Pimpinella_flabellifolia	0	1
Pimpinella_isaurica	0	1
Pimpinella_nudicaulis	0	1
Pimpinella_oliverioides	0	1
Pimpinella_peregrina	0	380
Pimpinella_puberula	0	17
Pimpinella_saxifraga	0	47239
Pimpinella_sintenisii	0	2
Pimpinella_siifolia	0	194
Pimpinella_diversifolia	0.386243386243386	189
Pimpinella_kotschyana	0	4
Pimpinella_lutea	0	6
Pimpinella_niitakayamensis	1	77
Frommia_ceratophylloides	1	13
Haussknechtia_elymaitica	0	4
Nothosmyrnium_japonicum	0.302325581395349	43
Pimpinella_acuminata	0	3
Pimpinella_henryi	0.2	10
Pimpinella_hirtella	0.9375	32
Pimpinella_krookii	0	5
Pimpinella_trifurcata	1	2
Pimpinella_caffra	0.333333333333333	39
Pimpinella_alismatifolia	1	15
Pimpinella_transvaalensis	0.111111111111111	9
Pimpinella_oreophila	1	8
Pimpinella_kyimbilaensis	1	2
Pimpinella_huillensis	1	7
Pimpinella_buchananii	1	23
Pimpinella_ledermannii	1	11
Pimpinella_rigidistyla	1	2
Pimpinella_perrieri	1	1
Pimpinella_candolleana	0.621621621621622	74
Pimpinella_caudata	0.222222222222222	9
Pimpinella_chungdienensis	0	3
Pimpinella_coriacea	0.666666666666667	9
Pimpinella_fargesii	0.133333333333333	15
Pimpinella_flaccida	0.125	8
Pimpinella_purpurea	0.153846153846154	13
Pimpinella_rubescens	0.4	5
Pimpinella_thellungiana	0	11
Pimpinella_tibetanica	0.4	10
Pimpinella_valleculosa	0	7
Sanicula_lamelligera	0.672566371681416	113
Psammogeton_canescens	0	2
Arafoe_aromatica	0	2
Pimpinella_anisum	0.198473282442748	131
Phellolophium_madagascariense	1	26
Pimpinella_betsileensis	1	4
Pimpinella_serbica	0	4
Pimpinella_tragium	0	473
Pimpinella_nigra	0	260
Pimpinella_armena	0	1
Pimpinella_rhodantha	0	5
Pimpinella_major	0	10396
Pseudopimpinella_anthriscoides	0	5
Pimpinella_peucedanifolia	0	2
Spuriopimpinella_brachystyla	0	3
Pimpinella_rhomboidea	0.3	20
Angelica_smithii	0.0882352941176471	34
Pimpinella_heyneana	1	2
Zeravschania_aucheri	0	2
Zeravschania_membranacea	0	2
Pimpinella_rockii	0.5	6
Tetrataenium_olgae	0	1
Heracleum_roseum	0	2
Heracleum_asperum	0	2
Heracleum_platytaenium	0	17
Heracleum_amanum	0	1
Heracleum_dissectifolium	0	4
Ainsworthia_trachycarpa	0	242
Cymbocarpum_anethoides	0	2
Ducrosia_anethifolia	0	4
Heracleum_apiifolium	0	4
Heracleum_minimum	0	25
Heracleum_pastinacifolium	0	9
Heracleum_sphondylium	0	51929
Malabaila_dasyantha	0	10
Leiotulus_pastinacifolius	0	2
Pastinaca_lucida	0	12
Pastinaca_sativa	0.000292887029288703	23900
Synelcosciadium_carmeli	0	205
Tordylium_aegyptiacum	0	95
Tordylium_apulum	0	238
Tordyliopsis_brunonis	0.5	4
Ferula_transiliensis	0	3
Zosima_radians	0	2
Tetrataenium_nepalense	0.214285714285714	14
Tetrataenium_hookerianum	0	1
Heracleum_austriacum	0	57
Ainsworthia_elegans	0	2
Leiotulus_secacul	0	62
Leiotulus_involucratus	0	20
Tetrataenium_kingdonii	0	7
Tetrataenium_wallichii	0.666666666666667	3
Tetrataenium_bivittatum	0.692307692307692	13
Semenovia_millefolia	0	42
Heracleum_scabridum	0.363636363636364	11
Semenovia_candicans	0.0638297872340425	94
Dasispermum_capense	0	11
Dasispermum_tenue	0	8
Dasispermum_hispidum	0	15
Scaraboides_manningii	0	3
Capnophyllum_lutzeyeri	0	5
Capnophyllum_leiocarpon	0	4
Capnophyllum_africanum	0	9
Capnophyllum_macrocarpum	0	1
Heracleum_pinnatum	0	1
Pastinaca_pimpinellifolia	0	5
Ormosciadium_aucheri	0	3
Semenovia_frigida	0	2
Semenovia_radiata	0	13
Heracleum_argaeum	0	1
Heracleum_rechingeri	0	3
Ducrosia_assadii	0	2
Heracleum_scabrum	0	1
Heracleum_lehmannianum	0	4
Heracleum_chorodanum	0	2
Ducrosia_flabellifolia	0	1
Kandaharia_rechingerorum	0	1
Zosima_absinthifolia	0	42
Pastinaca_armena	0	10
Heracleum_pastinaca	0	3
Heracleum_humile	0	3
Tordylium_maximum	0	2622
Leiotulus_dasyanthus	0	3
Heracleum_anisactis	0	3
Heracleum_sosnowskyi	0	1729
Pastinaca_umbrosa	0	1
Afroligusticum_aculeolatum	1	10
Afroligusticum_elgonense	1	5
Heracleum_stenopterum	0	12
Semenovia_dichotoma	0	3
Semenovia_tragioides	0	2
Heracleum_paphlagonicum	0	1
Semenovia_lasiocarpa	0	62
Semenovia_subscaposa	0	1
Tetrataenium_cardiocarpum	0	10
Tetrataenium_lallii	0.5	4
Heracleum_elgonense	1	1
Heracleum_mantegazzianum	0	12293
Heracleum_persicum	0	7
Heracleum_pubescens	0	7
Heracleum_stevenii	0	1
Leiotulus_aureus	0	81
Heracleum_antasiaticum	0	3
Heracleum_souliei	0.0833333333333333	12
Heracleum_wenchuanense	0	4
Heracleum_hemsleyanum	0.25	20
Heracleum_vicinum	0	1
Heracleum_tiliifolium	0.4	5
Heracleum_oreocharis	0.333333333333333	9
Heracleum_forrestii	0	8
Heracleum_henryi	0.5	4
Heracleum_wolongense	0	1
Heracleum_dissectum	0	19
Heracleum_franchetii	0	7
Heracleum_yungningense	0.111111111111111	9
Heracleum_subtomentellum	0	1
Heracleum_fargesii	0.333333333333333	3
Notobubon_galbanum	0	11
Notobubon_tenuifolium	0	8
Notobubon_gummiferum	0	3
Notobubon_galbaniopse	0	3
Notobubon_striatum	0	3
Notobubon_pungens	0	1
Notobubon_ferulaceum	0	5
Notobubon_laevigatum	0.142857142857143	14
Nanobubon_strictum	0	5
Nanobubon_capillaceum	0	6
Cynorhiza_typica	0	8
Notobubon_pearsonii	0	2
Afroligusticum_petitianum	1	11
Dasispermum_suffruticosum	0.4	15
Dasispermum_humile	0.333333333333333	3
Stenosemis_caffra	0.142857142857143	7
Stenosemis_angustifolia	0.375	8
Lefebvrea_longipedicellata	1	4
